artist,title,youtubeId,startSeconds,endSeconds,official
Krzesimir Dębski,Pogoda w Wilkowyjach,X9vR-C-Arn8,0,,false
Krzesimir Dębski,Sama wśród obcych,csEL8HpfLak,0,,false
Louis Armstrong,What a Wonderful World,rBrd_3VMC3c,0,,true
Madeon,Borealis,edbQkThan0g,0,,true
Mark Sparling,A Short Flight,LgDJPkGvLsY,0,,true
Mark Sparling,Beach Buds (Long Hike),ds0qRXFPaoQ,0,,true
Mark Sparling,Hello?,lXEa6vFimFU,0,,true
Mark Sparling,Nap Time,J6mstxtKbQs,0,,true
Mark Sparling,See You At The Top (Long Hike),fyWN6RjJrLo,0,,true
Mark Sparling,Somewhere In The Woods (Long Hike),U4OE_Ip_tnQ,0,,true
ODESZA feat. Naomi Wild,Higher Ground (Reprise),pC5BNqoP0EI,0,,true
ODESZA feat. WYNNE & Mansionair,Life Of Sight (Reprise),1JpWT3KtpKE,0,,true
Owl City,Fireflies,psuRGfAaju4,0,,true
Owl City,Sky Diver,bb4qLauj2XU,0,,true
Owl City,The Saltwater Room,dWhTUlG4d8s,0,,true
Porter Robinson,Look at the Sky,PuMz4v5PYKc,0,,true
Radzimir Dębski,Na ranczu muszą być konie,TMHpoCbED7A,0,,false
Radzimir Dębski,Wilkowyje idą spać,lxxdsOPADyU,0,,false
Rafał Samborski,Autumn (World 2),wSsb-J6bfYU,0,,true
Rafał Samborski,Light (World 1),fn3uVUr0Ro8,0,,true
Rafał Samborski,Rain (World 4),8mUUm6IjBJs,0,,true
Rafał Samborski,Winter (World 7),AMmfYNfEZRg,0,,true
ReoNa,ikari,9rrjxMYi8Yk,0,,true
SawanoHiroyuni[nZk]:mizuki,oldToday,za8aapTmp44,0,,true
Sayuri,Proust,DGd6T6wqc00,0,,false
Seycara Orchestral,Michishirube,l575V7MNrMI,0,,true
Steve Jablonsky,Maps & Simbols,AlyzJJF-DRw,0,,true
Steve Jablonsky,Simple Directions,oQ17Tbg9-qU,0,,true
Sumire Morohoshi,Masshiro,f8aL4Nq7CIE,0,,true
Triplepoint Trio,Triggernometry,KsharuaaUCc,0,,true
TRUE & Chihara Minori,Lost child,JKqMPcpM4Qs,0,,true
Zwei,Lyra,NTD9xnICau4,0,,false
